Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:00:41.380,114187.5,0.087,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.001,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.008,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.003,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.003,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.009,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.003,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.002,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.002,BTCUSDT
2025-09-30 00:00:41.380,114187.6,0.001,BTCUSDT
2025-09-30 00:00:41.380,114187.6,0.001,BTCUSDT
2025-09-30 00:00:41.380,114188.0,0.002,BTCUSDT
2025-09-30 00:00:41.380,114188.1,0.002,BTCUSDT
2025-09-30 00:00:41.380,114188.4,0.001,BTCUSDT
2025-09-30 00:00:41.380,114189.0,0.002,BTCUSDT
2025-09-30 00:00:41.380,114189.1,0.002,BTCUSDT
2025-09-30 00:00:41.380,114189.7,0.002,BTCUSDT
2025-09-30 00:00:41.380,114190.0,0.002,BTCUSDT
2025-09-30 00:00:41.380,114190.0,0.001,BTCUSDT
2025-09-30 00:00:41.380,114190.4,0.002,BTCUSDT
2025-09-30 00:00:41.380,114190.6,0.002,BTCUSDT
2025-09-30 00:00:41.380,114191.0,0.001,BTCUSDT
2025-09-30 00:00:41.380,114191.3,0.002,BTCUSDT
2025-09-30 00:00:41.386,114191.4,0.002,BTCUSDT
2025-09-30 00:00:41.386,114191.6,0.001,BTCUSDT
2025-09-30 00:00:41.393,114192.0,0.001,BTCUSDT
2025-09-30 00:00:41.393,114192.0,0.007,BTCUSDT
2025-09-30 00:00:41.393,114192.0,0.008,BTCUSDT
2025-09-30 00:00:41.393,114192.0,0.008,BTCUSDT
2025-09-30 00:00:41.419,114192.0,0.087,BTCUSDT
2025-09-30 00:00:41.421,114192.0,0.048,BTCUSDT
2025-09-30 00:00:41.421,114192.0,0.165,BTCUSDT
2025-09-30 00:00:41.421,114192.0,0.054,BTCUSDT
2025-09-30 00:00:41.421,114192.0,0.002,BTCUSDT
2025-09-30 00:00:41.421,114192.0,0.002,BTCUSDT
2025-09-30 00:00:41.421,114192.1,0.001,BTCUSDT
2025-09-30 00:00:41.421,114192.2,0.002,BTCUSDT
2025-09-30 00:00:41.421,114192.4,0.01,BTCUSDT
2025-09-30 00:00:41.421,114192.5,0.002,BTCUSDT
2025-09-30 00:00:41.421,114192.8,0.002,BTCUSDT
2025-09-30 00:00:41.421,114193.2,0.001,BTCUSDT
2025-09-30 00:00:41.421,114193.3,0.001,BTCUSDT
2025-09-30 00:00:41.421,114193.4,0.002,BTCUSDT
2025-09-30 00:00:41.421,114193.5,0.001,BTCUSDT
2025-09-30 00:00:41.421,114193.7,0.002,BTCUSDT
2025-09-30 00:00:41.421,114193.8,0.001,BTCUSDT
2025-09-30 00:00:41.421,114193.8,0.001,BTCUSDT
2025-09-30 00:00:41.421,114194.4,0.002,BTCUSDT
2025-09-30 00:00:41.421,114194.4,0.002,BTCUSDT
2025-09-30 00:00:41.421,114194.7,0.003,BTCUSDT
2025-09-30 00:00:41.421,114194.8,0.002,BTCUSDT
2025-09-30 00:00:41.421,114195.0,0.001,BTCUSDT
2025-09-30 00:00:41.421,114195.0,0.002,BTCUSDT
2025-09-30 00:00:41.421,114195.1,0.002,BTCUSDT
2025-09-30 00:00:41.421,114195.2,0.001,BTCUSDT
2025-09-30 00:00:41.460,114195.3,0.207,BTCUSDT
2025-09-30 00:00:41.577,114195.3,0.003,BTCUSDT
2025-09-30 00:00:41.607,114195.3,0.008,BTCUSDT
2025-09-30 00:00:41.975,114195.3,0.002,BTCUSDT
2025-09-30 00:00:42.012,114195.2,0.027,BTCUSDT
2025-09-30 00:00:42.171,114195.3,0.024,BTCUSDT
2025-09-30 00:00:42.185,114195.2,0.088,BTCUSDT
2025-09-30 00:00:42.847,114195.2,0.125,BTCUSDT
2025-09-30 00:00:42.848,114195.2,0.276,BTCUSDT
2025-09-30 00:00:42.849,114195.2,0.209,BTCUSDT
2025-09-30 00:00:42.849,114195.2,0.5,BTCUSDT
2025-09-30 00:00:42.849,114195.2,0.287,BTCUSDT
2025-09-30 00:00:42.849,114195.2,0.436,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.846,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.052,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.012,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.05,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.002,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.014,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.002,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.850,114195.2,0.015,BTCUSDT
2025-09-30 00:00:42.851,114195.2,0.003,BTCUSDT
2025-09-30 00:00:42.851,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.2,0.006,BTCUSDT
2025-09-30 00:00:42.851,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.2,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.1,0.002,BTCUSDT
2025-09-30 00:00:42.851,114195.1,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.1,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.1,0.001,BTCUSDT
2025-09-30 00:00:42.851,114195.0,0.001,BTCUSDT
2025-09-30 00:00:42.856,114194.4,0.05,BTCUSDT
2025-09-30 00:00:42.856,114194.3,0.002,BTCUSDT
2025-09-30 00:00:42.856,114193.8,0.001,BTCUSDT
2025-09-30 00:00:42.856,114193.4,0.003,BTCUSDT
2025-09-30 00:00:42.856,114193.4,0.032,BTCUSDT
2025-09-30 00:00:42.856,114192.9,0.001,BTCUSDT
2025-09-30 00:00:42.856,114192.5,0.002,BTCUSDT
2025-09-30 00:00:42.948,114192.0,0.008,BTCUSDT
2025-09-30 00:00:42.952,114191.9,0.004,BTCUSDT
2025-09-30 00:00:42.952,114191.9,0.718,BTCUSDT
2025-09-30 00:00:42.952,114191.9,0.522,BTCUSDT
2025-09-30 00:00:42.952,114191.9,0.059,BTCUSDT
2025-09-30 00:00:42.953,114191.9,0.088,BTCUSDT
2025-09-30 00:00:42.954,114191.9,0.027,BTCUSDT
2025-09-30 00:00:42.968,114191.9,0.042,BTCUSDT
2025-09-30 00:00:43.095,114191.9,0.27,BTCUSDT
2025-09-30 00:00:43.096,114191.9,1.022,BTCUSDT
2025-09-30 00:00:43.096,114191.9,0.85,BTCUSDT
2025-09-30 00:00:43.108,114191.9,0.218,BTCUSDT
2025-09-30 00:00:43.108,114191.9,0.574,BTCUSDT
2025-09-30 00:00:43.109,114191.9,2.452,BTCUSDT
2025-09-30 00:00:43.113,114191.9,0.377,BTCUSDT
2025-09-30 00:00:43.113,114191.9,1.126,BTCUSDT
2025-09-30 00:00:43.115,114191.9,0.671,BTCUSDT
2025-09-30 00:00:43.115,114191.9,0.061,BTCUSDT
2025-09-30 00:00:43.116,114191.9,0.328,BTCUSDT
2025-09-30 00:00:43.117,114191.9,2.111,BTCUSDT
2025-09-30 00:00:43.117,114191.9,2.552,BTCUSDT
2025-09-30 00:00:43.117,114191.9,0.261,BTCUSDT
2025-09-30 00:00:43.117,114191.9,0.208,BTCUSDT
2025-09-30 00:00:43.117,114191.9,5.164,BTCUSDT
2025-09-30 00:00:43.117,114191.9,0.539,BTCUSDT
2025-09-30 00:00:43.118,114191.9,1.643,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.118,114191.9,0.001,BTCUSDT
2025-09-30 00:00:43.130,114191.8,0.001,BTCUSDT
2025-09-30 00:00:43.130,114191.6,0.001,BTCUSDT
2025-09-30 00:00:43.130,114191.5,0.002,BTCUSDT
2025-09-30 00:00:43.130,114190.9,0.002,BTCUSDT
2025-09-30 00:00:43.130,114190.3,0.002,BTCUSDT
2025-09-30 00:00:43.130,114190.2,0.002,BTCUSDT
2025-09-30 00:00:43.130,114190.0,0.001,BTCUSDT
2025-09-30 00:00:43.177,114189.5,0.001,BTCUSDT
2025-09-30 00:00:43.177,114189.5,0.001,BTCUSDT
2025-09-30 00:00:43.177,114189.5,0.001,BTCUSDT
2025-09-30 00:00:43.177,114189.3,0.002,BTCUSDT
2025-09-30 00:00:43.177,114189.2,0.001,BTCUSDT
2025-09-30 00:00:43.177,114189.1,0.002,BTCUSDT
2025-09-30 00:00:43.201,114188.7,0.002,BTCUSDT
